 hhid  ,treatment,visit,concatenated,all_conc,ecm_type
33016,R,BL,RBL,306.05,Gravimetric
33016,R,P1,RP1,233.22,Gravimetric
33016,R,P2,RP2,181.51,Gravimetric
33026,Q,BL,QBL,242.85,Gravimetric
33026,Q,P2,QP2,23.44,Gravimetric
33027,R,BL,RBL,372.99,Gravimetric
33029,R,BL,RBL,73.86,Gravimetric
33029,R,P1,RP1,112.21,Gravimetric
33029,R,P2,RP2,63.18,Gravimetric
33038,R,BL,RBL,142.89,Gravimetric
33038,R,P1,RP1,95.98,Gravimetric
33038,R,P2,RP2,169.92,Gravimetric
33042,R,BL,RBL,52.36,Gravimetric
33042,R,P1,RP1,36.76,Gravimetric
33042,R,P2,RP2,126.79,Gravimetric
33058,R,BL,RBL,145.58,Gravimetric
33058,R,P1,RP1,246.88,Gravimetric
33058,R,P2,RP2,125.82,Gravimetric
33067,Q,BL,QBL,317.52,Gravimetric
33067,Q,P1,QP1,35.04,Gravimetric
33067,Q,P2,QP2,19.14,Gravimetric
33081,Q,BL,QBL,125.64,Gravimetric
33081,Q,P1,QP1,16.35,Gravimetric
33081,Q,P2,QP2,21.75,Gravimetric
33089,Q,BL,QBL,129.88,Gravimetric
33089,Q,P1,QP1,9.71,Gravimetric
33089,Q,P2,QP2,10.58,Gravimetric
33103,Q,BL,QBL,172.88,Gravimetric
33103,Q,P1,QP1,48.38,Gravimetric
33129,R,BL,RBL,136.68,Gravimetric
33129,R,P1,RP1,70.42,Gravimetric
33129,R,P2,RP2,158.53,Gravimetric
33141,R,BL,RBL,40.75,Gravimetric
33141,R,P1,RP1,154.31,Gravimetric
33141,R,P2,RP2,160.11,Gravimetric
33147,Q,P2,QP2,19.53,Gravimetric
33152,Q,BL,QBL,41.23,Gravimetric
33152,Q,P1,QP1,24.41,Gravimetric
33167,Q,BL,QBL,79.03,Gravimetric
33167,Q,P1,QP1,16.46,Gravimetric
33169,R,P1,RP1,171.17,Gravimetric
33169,R,P2,RP2,85.22,Gravimetric
33176,R,BL,RBL,172.26,Gravimetric
33176,R,P1,RP1,56.85,Gravimetric
33176,R,P2,RP2,54.44,Gravimetric
33180,R,BL,RBL,132.22,Gravimetric
33180,R,P1,RP1,104.54,Gravimetric
33180,R,P2,RP2,108.24,Gravimetric
33191,Q,BL,QBL,153.28,Gravimetric
33191,Q,P1,QP1,24.24,Gravimetric
33195,R,BL,RBL,85.00,Gravimetric
33195,R,P2,RP2,32.33,Gravimetric
33199,Q,BL,QBL,144.07,Gravimetric
33199,Q,P1,QP1,35.49,Gravimetric
33199,Q,P2,QP2,34.52,Gravimetric
33209,Q,P2,QP2,11.81,Gravimetric
33226,R,BL,RBL,290.07,Gravimetric
33226,R,BLP1,RBLP1,64.10,Gravimetric
33226,R,P1P2,RP1P2,52.76,Gravimetric
33226,R,P2,RP2,42.57,Gravimetric
33226,R,P2B1,RP2B1,37.71,Gravimetric
33227,R,BLP1,RBLP1,203.50,Gravimetric
33227,R,P1P2,RP1P2,217.77,Gravimetric
33227,R,P2B1,RP2B1,163.32,Gravimetric
33228,R,P1,RP1,80.81,Gravimetric
33235,R,P1,RP1,103.49,Gravimetric
33235,R,P2,RP2,86.59,Gravimetric
33242,R,BL,RBL,127.65,Gravimetric
33242,R,P1,RP1,82.93,Gravimetric
33242,R,P2,RP2,61.09,Gravimetric
33244,Q,BLP1,QBLP1,26.16,Gravimetric
33244,Q,P1P2,QP1P2,11.85,Gravimetric
33244,Q,P2B1,QP2B1,11.84,Gravimetric
33246,R,P2,RP2,222.03,Gravimetric
33247,R,BL,RBL,92.90,Gravimetric
33247,R,P2,RP2,151.34,Gravimetric
33248,Q,BLP1,QBLP1,79.70,Gravimetric
33252,R,BLP1,RBLP1,203.79,Gravimetric
33252,R,P1P2,RP1P2,286.99,Gravimetric
33252,R,P2B1,RP2B1,427.60,Gravimetric
33260,R,P1,RP1,43.73,Gravimetric
33260,R,P2,RP2,205.42,Gravimetric
33263,R,BL,RBL,83.72,Gravimetric
33263,R,P1,RP1,67.45,Gravimetric
33263,R,P2,RP2,37.57,Gravimetric
33269,Q,P1,QP1,16.30,Gravimetric
33277,R,P1,RP1,60.80,Gravimetric
33286,R,BL,RBL,601.40,Gravimetric
33286,R,P2,RP2,431.78,Gravimetric
33287,Q,BLP1,QBLP1,35.92,Gravimetric
33287,Q,P1P2,QP1P2,11.93,Gravimetric
33288,Q,P1,QP1,10.67,Gravimetric
33288,Q,P2,QP2,15.93,Gravimetric
33294,R,P2,RP2,166.44,Gravimetric
33296,R,BLP1,RBLP1,51.68,Gravimetric
33296,R,P1P2,RP1P2,341.24,Gravimetric
33296,R,P2B1,RP2B1,129.72,Gravimetric
33298,Q,BLP1,QBLP1,40.27,Gravimetric
33298,Q,P1P2,QP1P2,45.71,Gravimetric
33298,Q,P2B1,QP2B1,11.73,Gravimetric
33301,Q,P2,QP2,34.63,Gravimetric
33303,Q,BLP1,QBLP1,109.50,Gravimetric
33303,Q,P1P2,QP1P2,51.57,Gravimetric
33308,R,BLP1,RBLP1,138.60,Gravimetric
33309,R,P1,RP1,136.21,Gravimetric
33309,R,P2,RP2,74.51,Gravimetric
33311,Q,BLP1,QBLP1,23.24,Gravimetric
33311,Q,P1P2,QP1P2,12.27,Gravimetric
33311,Q,P2B1,QP2B1,26.64,Gravimetric
33325,R,BLP1,RBLP1,175.23,Gravimetric
33325,R,P2B1,RP2B1,46.79,Gravimetric
33326,Q,P1,QP1,38.81,Gravimetric
33326,Q,P2,QP2,38.16,Gravimetric
33330,R,BLP1,RBLP1,95.24,Gravimetric
33330,R,P1P2,RP1P2,29.27,Gravimetric
33330,R,P2B1,RP2B1,47.77,Gravimetric
33334,R,P1,RP1,33.31,Gravimetric
33334,R,P2,RP2,43.07,Gravimetric
33336,Q,BLP1,QBLP1,11.62,Gravimetric
33336,Q,P1P2,QP1P2,26.73,Gravimetric
33336,Q,P2B1,QP2B1,11.77,Gravimetric
33337,Q,P1,QP1,10.78,Gravimetric
33353,R,P2,RP2,76.96,Gravimetric
33358,R,P2,RP2,69.15,Gravimetric
33363,R,BLP1,RBLP1,37.63,Gravimetric
33363,R,P1P2,RP1P2,21.38,Gravimetric
33363,R,P2B1,RP2B1,11.85,Gravimetric
33367,R,BLP1,RBLP1,138.32,Gravimetric
33367,R,P1P2,RP1P2,68.07,Gravimetric
33367,R,P2B1,RP2B1,112.37,Gravimetric
33370,Q,BLP1,QBLP1,18.53,Gravimetric
33370,Q,P1P2,QP1P2,38.19,Gravimetric
33370,Q,P2B1,QP2B1,18.73,Gravimetric
33383,Q,P1,QP1,17.35,Gravimetric
33383,Q,P2,QP2,20.13,Gravimetric
33387,R,BLP1,RBLP1,80.79,Gravimetric
33387,R,P1P2,RP1P2,349.27,Gravimetric
33387,R,P2B1,RP2B1,127.63,Gravimetric
33396,R,P1P2,RP1P2,128.09,Gravimetric
33396,R,P2B1,RP2B1,135.27,Gravimetric
33397,Q,BLP1,QBLP1,11.58,Gravimetric
33397,Q,P1P2,QP1P2,25.23,Gravimetric
33397,Q,P2B1,QP2B1,11.85,Gravimetric
33420,R,P2,RP2,43.36,Gravimetric
33432,Q,BLP1,QBLP1,57.29,Gravimetric
33444,Q,P2,QP2,24.23,Gravimetric
33447,Q,BLP1,QBLP1,11.63,Gravimetric
33447,Q,P1P2,QP1P2,11.91,Gravimetric
33447,Q,P2B1,QP2B1,26.82,Gravimetric
33452,Q,P1,QP1,18.66,Gravimetric
33457,R,BLP1,RBLP1,264.15,Gravimetric
33457,R,P1P2,RP1P2,226.11,Gravimetric
33459,Q,BLP1,QBLP1,36.15,Gravimetric
33459,Q,P1P2,QP1P2,21.64,Gravimetric
33459,Q,P2B1,QP2B1,26.76,Gravimetric
33470,R,P1P2,RP1P2,107.33,Gravimetric
33470,R,P2B1,RP2B1,255.19,Gravimetric
33475,Q,BLP1,QBLP1,19.07,Gravimetric
33475,Q,P2B1,QP2B1,33.04,Gravimetric
33484,R,P1P2,RP1P2,48.90,Gravimetric
33484,R,P2B1,RP2B1,67.21,Gravimetric
33489,R,P1,RP1,126.69,Gravimetric
33489,R,P2,RP2,346.33,Gravimetric
33493,Q,P1,QP1,10.89,Gravimetric
33495,R,P1,RP1,19.86,Gravimetric
33497,Q,BLP1,QBLP1,11.98,Gravimetric
33497,Q,P2B1,QP2B1,11.71,Gravimetric
33505,Q,BLP1,QBLP1,73.79,Gravimetric
33505,Q,P2,QP2,23.92,Gravimetric
33517,Q,P1,QP1,53.36,Gravimetric
33517,Q,P2,QP2,31.10,Gravimetric
33519,R,BLP1,RBLP1,216.12,Gravimetric
33519,R,P1P2,RP1P2,185.64,Gravimetric
33519,R,P2B1,RP2B1,276.64,Gravimetric
33521,R,P2,RP2,50.63,Gravimetric
33524,R,BLP1,RBLP1,91.25,Gravimetric
33524,R,P1P2,RP1P2,152.22,Gravimetric
33529,Q,P2,QP2,28.66,Gravimetric
33537,R,BLP1,RBLP1,75.45,Gravimetric
33537,R,P2B1,RP2B1,176.70,Gravimetric
33543,Q,BLP1,QBLP1,11.63,Gravimetric
33543,Q,P1P2,QP1P2,34.12,Gravimetric
33547,Q,P1,QP1,41.23,Gravimetric
33547,Q,P2,QP2,17.29,Gravimetric
33549,Q,P1P2,QP1P2,23.68,Gravimetric
33559,R,P1,RP1,54.42,Gravimetric
33562,R,P1,RP1,129.02,Gravimetric
33562,R,P2,RP2,230.87,Gravimetric
33568,Q,P2B1,QP2B1,19.78,Gravimetric
33570,Q,P1,QP1,27.33,Gravimetric
33570,Q,P2,QP2,14.40,Gravimetric
33570,Q,P2B1,QP2B1,24.07,Gravimetric
33573,R,BLP1,RBLP1,152.48,Gravimetric
33587,Q,P1,QP1,15.26,Gravimetric
35014,R,BL,RBL,119.31,Gravimetric
35014,R,P1,RP1,88.63,Gravimetric
35025,R,BL,RBL,153.66,Gravimetric
35032,R,BL,RBL,86.15,Gravimetric
35038,Q,P2,QP2,61.60,Gravimetric
35041,Q,BL,QBL,51.31,Gravimetric
35047,R,P1,RP1,17.70,Gravimetric
35053,R,BL,RBL,86.88,Gravimetric
35053,R,P1,RP1,92.35,Gravimetric
35053,R,P2,RP2,93.45,Gravimetric
35090,R,BLP1,RBLP1,27.22,Gravimetric
35090,R,P1P2,RP1P2,56.48,Gravimetric
35092,Q,P1,QP1,37.32,Gravimetric
35092,Q,P2,QP2,23.73,Gravimetric
35100,R,P1,RP1,79.24,Gravimetric
35100,R,P2,RP2,70.44,Gravimetric
35101,Q,P1,QP1,17.40,Gravimetric
35101,Q,P2,QP2,10.81,Gravimetric
35104,R,BLP1,RBLP1,176.08,Gravimetric
35104,R,P1P2,RP1P2,146.84,Gravimetric
35121,Q,BLP1,QBLP1,18.72,Gravimetric
35121,Q,P1P2,QP1P2,11.58,Gravimetric
35124,R,P1,RP1,238.26,Gravimetric
35128,R,P1,RP1,50.68,Gravimetric
35128,R,P2,RP2,26.72,Gravimetric
33016,R,BL,RBL,278.47,Gravimetric
33016,R,P1,RP1,259.47,Gravimetric
33016,R,P2,RP2,154.83,Gravimetric
33026,Q,BL,QBL,258.72,Gravimetric
33026,Q,P2,QP2,32.06,Gravimetric
33027,R,BL,RBL,399.76,Gravimetric
33029,R,BL,RBL,61.29,Gravimetric
33029,R,P1,RP1,56.66,Gravimetric
33029,R,P2,RP2,43.94,Gravimetric
33038,R,BL,RBL,128.44,Gravimetric
33038,R,P1,RP1,86.73,Gravimetric
33038,R,P2,RP2,197.74,Gravimetric
33042,R,BL,RBL,39.98,Gravimetric
33042,R,P1,RP1,43.66,Gravimetric
33042,R,P2,RP2,131.27,Gravimetric
33058,R,BL,RBL,135.30,Gravimetric
33058,R,P1,RP1,235.50,Gravimetric
33058,R,P2,RP2,129.79,Gravimetric
33067,Q,BL,QBL,320.01,Gravimetric
33067,Q,P1,QP1,40.47,Gravimetric
33067,Q,P2,QP2,10.67,Gravimetric
33081,Q,BL,QBL,107.45,Gravimetric
33081,Q,P1,QP1,15.26,Gravimetric
33081,Q,P2,QP2,23.09,Gravimetric
33089,Q,BL,QBL,116.03,Gravimetric
33089,Q,P1,QP1,19.40,Gravimetric
33089,Q,P2,QP2,10.46,Gravimetric
33103,Q,BL,QBL,178.82,Gravimetric
33103,Q,P1,QP1,47.65,Gravimetric
33129,R,BL,RBL,135.30,Gravimetric
33129,R,P1,RP1,72.25,Gravimetric
33129,R,P2,RP2,160.39,Gravimetric
33141,R,BL,RBL,41.44,Gravimetric
33141,R,P1,RP1,110.46,Gravimetric
33141,R,P2,RP2,170.41,Gravimetric
33147,Q,P2,QP2,15.24,Gravimetric
33152,Q,BL,QBL,30.52,Gravimetric
33152,Q,P1,QP1,19.04,Gravimetric
33167,Q,BL,QBL,77.48,Gravimetric
33167,Q,P1,QP1,10.85,Gravimetric
33169,R,P1,RP1,142.86,Gravimetric
33169,R,P2,RP2,73.06,Gravimetric
33176,R,BL,RBL,210.04,Gravimetric
33176,R,P1,RP1,48.81,Gravimetric
33176,R,P2,RP2,53.82,Gravimetric
33180,R,BL,RBL,143.87,Gravimetric
33180,R,P1,RP1,110.36,Gravimetric
33180,R,P2,RP2,122.38,Gravimetric
33191,Q,BL,QBL,94.98,Gravimetric
33191,Q,P1,QP1,46.09,Gravimetric
33195,R,BL,RBL,72.59,Gravimetric
33195,R,P2,RP2,55.84,Gravimetric
33199,Q,BL,QBL,122.30,Gravimetric
33199,Q,P1,QP1,29.01,Gravimetric
33199,Q,P2,QP2,30.02,Gravimetric
33209,Q,P2,QP2,10.59,Gravimetric
33226,R,BL,RBL,244.28,Gravimetric
33226,R,BLP1,RBLP1,57.25,Gravimetric
33226,R,P1P2,RP1P2,61.57,Gravimetric
33226,R,P2,RP2,47.22,Gravimetric
33226,R,P2B1,RP2B1,34.43,Gravimetric
33227,R,BLP1,RBLP1,11.85,Gravimetric
33227,R,P1P2,RP1P2,223.90,Gravimetric
33227,R,P2B1,RP2B1,150.30,Gravimetric
33228,R,P1,RP1,79.49,Gravimetric
33235,R,P1,RP1,109.61,Gravimetric
33235,R,P2,RP2,93.54,Gravimetric
33242,R,BL,RBL,130.02,Gravimetric
33242,R,P1,RP1,72.06,Gravimetric
33242,R,P2,RP2,52.04,Gravimetric
33244,Q,BLP1,QBLP1,20.71,Gravimetric
33244,Q,P1P2,QP1P2,12.08,Gravimetric
33244,Q,P2B1,QP2B1,21.83,Gravimetric
33246,R,P2,RP2,242.78,Gravimetric
33247,R,BL,RBL,131.61,Gravimetric
33247,R,P2,RP2,77.77,Gravimetric
33248,Q,BLP1,QBLP1,31.95,Gravimetric
33252,R,BLP1,RBLP1,160.83,Gravimetric
33252,R,P1P2,RP1P2,298.37,Gravimetric
33252,R,P2B1,RP2B1,486.12,Gravimetric
33260,R,P1,RP1,37.70,Gravimetric
33260,R,P2,RP2,179.21,Gravimetric
33263,R,BL,RBL,83.90,Gravimetric
33263,R,P1,RP1,79.43,Gravimetric
33263,R,P2,RP2,35.28,Gravimetric
33269,Q,P1,QP1,27.79,Gravimetric
33277,R,P1,RP1,48.33,Gravimetric
33286,R,BL,RBL,555.29,Gravimetric
33286,R,P2,RP2,399.31,Gravimetric
33287,Q,BLP1,QBLP1,25.89,Gravimetric
33287,Q,P1P2,QP1P2,11.93,Gravimetric
33288,Q,P1,QP1,23.81,Gravimetric
33288,Q,P2,QP2,19.59,Gravimetric
33294,R,P2,RP2,82.75,Gravimetric
33296,R,BLP1,RBLP1,50.33,Gravimetric
33296,R,P1P2,RP1P2,254.87,Gravimetric
33296,R,P2B1,RP2B1,140.63,Gravimetric
33298,Q,BLP1,QBLP1,34.69,Gravimetric
33298,Q,P1P2,QP1P2,55.55,Gravimetric
